,BVP_1
1440,-72.37
1441,-67.1
1442,-55.51
1443,-38.8
1444,-19.33
1445,0.26
1446,17.84
1447,32.28
1448,43.3
1449,51.06
1450,55.68
1451,57.16
1452,55.61
1453,51.61
1454,46.31
1455,41.21
1456,37.62
1457,36.09
1458,36.3
1459,37.21
1460,37.64
1461,36.81
1462,34.53
1463,31.21
1464,27.48
1465,23.76
1466,20.08
1467,16.04
1468,11.2
1469,5.31
1470,-1.44
1471,-8.44
1472,-14.93
1473,-20.36
1474,-24.67
1475,-28.23
1476,-31.76
1477,-35.96
1478,-41.36
1479,-48.11
1480,-55.91
1481,-63.94
1482,-70.84
1483,-74.86
1484,-74.2
1485,-67.65
1486,-55
1487,-37.38
1488,-16.93
1489,3.73
1490,22.29
1491,37.21
1492,47.9
1493,54.51
1494,57.55
1495,57.63
1496,55.34
1497,51.39
1498,46.66
1499,42.15
1500,38.78
1501,37.09
1502,37
1503,37.87
1504,38.75
1505,38.72
1506,37.27
1507,34.39
1508,30.48
1509,26.1
1510,21.67
1511,17.31
1512,12.86
1513,8.02
1514,2.55
1515,-3.54
1516,-9.94
1517,-16.13
1518,-21.57
1519,-25.91
1520,-29.19
1521,-31.86
1522,-34.66
1523,-38.43
1524,-43.81
1525,-50.96
1526,-59.34
1527,-67.61
1528,-73.79
1529,-75.73
1530,-71.75
1531,-61.25
1532,-45.01
1533,-25.01
1534,-3.82
1535,16.1
1536,33.03
1537,46.14
1538,55.23
1539,60.47
1540,62.12
1541,60.55
1542,56.44
1543,50.86
1544,45.18
1545,40.66
1546,38.07
1547,37.44
1548,38.12
1549,39.1
1550,39.44
1551,38.65
1552,36.67
1553,33.82
1554,30.46
1555,26.84
1556,22.96
1557,18.68
1558,13.86
1559,8.5
1560,2.77
1561,-3.01
1562,-8.5
1563,-13.47
1564,-17.86
1565,-21.75
1566,-25.33
1567,-28.81
1568,-32.42
1569,-36.47
1570,-41.38
1571,-47.52
1572,-54.94
1573,-62.93
1574,-69.91
1575,-73.65
1576,-72.01
1577,-63.75
1578,-49.21
1579,-30.22
1580,-9.54
1581,10.08
1582,26.71
1583,39.46
1584,48.32
1585,53.58
1586,55.52
1587,54.3
1588,50.28
1589,44.31
1590,37.79
1591,32.29
1592,28.98
1593,28.19
1594,29.24
1595,30.8
1596,31.51
1597,30.6
1598,28.09
1599,24.65
1600,21.07
1601,17.79
1602,14.65
1603,11.05
1604,6.36
1605,0.37
1606,-6.53
1607,-13.5
1608,-19.57
1609,-24.11
1610,-27.1
1611,-29.15
1612,-31.18
1613,-34.12
1614,-38.58
1615,-44.62
1616,-51.76
1617,-59
1618,-64.93
1619,-67.92
1620,-66.47
1621,-59.59
1622,-47.22
1623,-30.38
1624,-11.07
1625,8.29
1626,25.45
1627,38.87
1628,47.96
1629,52.88
1630,54.23
1631,52.76
1632,49.16
1633,44.17
1634,38.63
1635,33.45
1636,29.46
1637,27.13
1638,26.45
1639,26.89
1640,27.6
1641,27.75
1642,26.79
1643,24.6
1644,21.41
1645,17.61
1646,13.54
1647,9.32
1648,4.84
1649,-0.13
1650,-5.75
1651,-11.96
1652,-18.4
1653,-24.5
1654,-29.69
1655,-33.65
1656,-36.47
1657,-38.69
1658,-41.19
1659,-44.88
1660,-50.38
1661,-57.63
1662,-65.74
1663,-73
1664,-77.24
1665,-76.41
1666,-69.25
1667,-55.8
1668,-37.47
1669,-16.68
1670,3.93
1671,22.16
1672,36.75
1673,47.35
1674,54.2
1675,57.64
1676,57.96
1677,55.5
1678,50.89
1679,45.2
1680,39.81
1681,35.97
1682,34.32
1683,34.65
1684,36
1685,37.16
1686,37.13
1687,35.49
1688,32.45
1689,28.51
1690,24.23
1691,19.91
1692,15.58
1693,11.06
1694,6.15
1695,0.76
1696,-5
1697,-10.89
1698,-16.55
1699,-21.66
1700,-25.98
1701,-29.47
1702,-32.27
1703,-34.76
1704,-37.42
1705,-40.82
1706,-45.5
1707,-51.69
1708,-59.08
1709,-66.59
1710,-72.34
1711,-74.08
1712,-69.91
1713,-59.03
1714,-42.22
1715,-21.69
1716,-0.45
1717,18.74
1718,34.1
1719,45.08
1720,52
1721,55.54
1722,56.2
1723,54.3
1724,50.22
1725,44.67
1726,38.83
1727,34.02
1728,31.25
1729,30.8
1730,32.1
1731,33.98
1732,35.17
1733,34.79
1734,32.65
1735,29.19
1736,25.14
1737,21.16
1738,17.51
1739,13.98
1740,10.09
1741,5.45
1742,-0.06
1743,-6.09
1744,-12.05
1745,-17.35
1746,-21.65
1747,-25
1748,-27.74
1749,-30.36
1750,-33.28
1751,-36.78
1752,-41.05
1753,-46.22
1754,-52.37
1755,-59.27
1756,-66.09
1757,-71.32
1758,-72.94
1759,-69.12
1760,-58.95
1761,-43.05
1762,-23.51
1763,-3.23
1764,15.03
1765,29.5
1766,39.65
1767,45.92
1768,49.01
1769,49.46
1770,47.51
1771,43.4
1772,37.78
1773,31.8
1774,26.87
1775,24.07
1776,23.69
1777,25.08
1778,26.94
1779,27.97
1780,27.4
1781,25.25
1782,22.12
1783,18.76
1784,15.64
1785,12.65
1786,9.32
1787,5.11
1788,-0.18
1789,-6.22
1790,-12.29
1791,-17.6
1792,-21.67
1793,-24.53
1794,-26.69
1795,-28.93
1796,-32
1797,-36.42
1798,-42.33
1799,-49.39
1800,-56.7
1801,-62.82
1802,-65.99
1803,-64.59
1804,-57.64
1805,-45.22
1806,-28.59
1807,-9.85
1808,8.66
1809,24.94
1810,37.7
1811,46.38
1812,50.94
1813,51.74
1814,49.34
1815,44.62
1816,38.69
1817,32.77
1818,27.88
1819,24.64
1820,23.06
1821,22.69
1822,22.86
1823,22.95
1824,22.59
1825,21.63
1826,20.04
1827,17.76
1828,14.66
1829,10.6
1830,5.54
1831,-0.38
1832,-6.8
1833,-13.25
1834,-19.27
1835,-24.52
1836,-28.91
1837,-32.56
1838,-35.76
1839,-38.91
1840,-42.47
1841,-46.92
1842,-52.56
1843,-59.28
1844,-66.29
1845,-72
1846,-74.29
1847,-71.16
1848,-61.53
1849,-45.83
1850,-26.03
1851,-5.11
1852,14.02
1853,29.37
1854,40.33
1855,47.34
1856,51.28
1857,52.82
1858,52.16
1859,49.31
1860,44.55
1861,38.73
1862,33.2
1863,29.36
1864,28.02
1865,29.02
1866,31.26
1867,33.22
1868,33.6
1869,31.85
1870,28.28
1871,23.77
1872,19.27
1873,15.26
1874,11.58
1875,7.58
1876,2.57
1877,-3.75
1878,-11.08
1879,-18.55
1880,-25.18
1881,-30.26
1882,-33.7
1883,-36
1884,-38
1885,-40.5
1886,-44.01
1887,-48.75
1888,-54.67
1889,-61.57
1890,-68.94
1891,-75.76
1892,-80.35
1893,-80.66
1894,-74.9
1895,-62.3
1896,-43.71
1897,-21.52
1898,1.05
1899,21.03
1900,36.49
1901,46.98
1902,53.1
1903,55.86
1904,56.16
1905,54.47
1906,51.13
1907,46.64
1908,41.82
1909,37.73
1910,35.28
1911,34.86
1912,36.13
1913,38.13
1914,39.63
1915,39.63
1916,37.67
1917,33.91
1918,29.03
1919,23.87
1920,19.09
1921,14.95
1922,11.22
1923,7.33
1924,2.75
1925,-2.76
1926,-8.94
1927,-15.09
1928,-20.44
1929,-24.5
1930,-27.31
1931,-29.4
1932,-31.55
1933,-34.43
1934,-38.41
1935,-43.59
1936,-49.85
1937,-56.97
1938,-64.42
1939,-71.12
1940,-75.35
1941,-75.05
1942,-68.55
1943,-55.33
1944,-36.49
1945,-14.55
1946,7.33
1947,26.33
1948,40.78
1949,50.3
1950,55.47
1951,57.16
1952,56.14
1953,52.92
1954,48.03
1955,42.22
1956,36.56
1957,32.18
1958,29.93
1959,29.95
1960,31.59
1961,33.7
1962,35.02
1963,34.68
1964,32.47
1965,28.8
1966,24.48
1967,20.24
1968,16.43
1969,12.91
1970,9.16
1971,4.64
1972,-0.89
1973,-7.19
1974,-13.57
1975,-19.2
1976,-23.52
1977,-26.45
1978,-28.48
1979,-30.46
1980,-33.17
1981,-37.17
1982,-42.6
1983,-49.23
1984,-56.49
1985,-63.41
1986,-68.63
1987,-70.53
1988,-67.57
1989,-58.87
1990,-44.6
1991,-26.17
1992,-5.9
1993,13.64
1994,30.29
1995,42.77
1996,50.68
1997,54.33
1998,54.34
1999,51.52
2000,46.75
2001,41.04
2002,35.47
2003,31.03
2004,28.39
2005,27.7
2006,28.55
2007,30.06
2008,31.21
2009,31.19
2010,29.64
2011,26.69
2012,22.84
2013,18.65
2014,14.48
2015,10.35
